genome  raw_id  label   role
Sphing  Sphing_00806    SphiNy  dipeptidyl_peptidase
KI72    KI72_04246  nylC    6_aminohexanoate_oligomer_endohydrolase
KI72    KI72_00695  capA_1  Caprolactamase_subunit_alpha
KI72    KI72_00696  capB_1  Caprolactamase_subunit_beta
KI72    KI72_03141  capB_2  Caprolactamase_subunit_beta
KI72    KI72_03142  capA_2  Caprolactamase_subunit_alpha
KI72    KI72_04270  nylA   6_aminohexanoate_cyclic_dimer_hydrolase
KI72    KI72_04319  nylB   6_aminohexanoate_dimer_hydrolase
KI72    KI72_04323  nylB   6_aminohexanoate_dimer_hydrolase
pOAD2   pOAD2_00007 nylC    6_aminohexanoate_oligomer_endohydrolase
pOAD2   pOAD2_00005 nylB    6_aminohexanoate_dimer_hydrolase
pOAD2   pOAD2_00019 nylB'    6_aminohexanoate_dimer_hydrolase
PAO1    PAO1_05729   nylB'  6_aminohexanoate_dimer_hydrolase
